country_id,country,last_update
1,Afghanistan,2020-02-15 09:44:00+00
2,Algeria,2020-02-15 09:44:00+00
3,American Samoa,2020-02-15 09:44:00+00
4,Angola,2020-02-15 09:44:00+00
5,Anguilla,2020-02-15 09:44:00+00
6,Argentina,2020-02-15 09:44:00+00
7,Armenia,2020-02-15 09:44:00+00
8,Australia,2020-02-15 09:44:00+00
9,Austria,2020-02-15 09:44:00+00
10,Azerbaijan,2020-02-15 09:44:00+00
11,Bahrain,2020-02-15 09:44:00+00
12,Bangladesh,2020-02-15 09:44:00+00
13,Belarus,2020-02-15 09:44:00+00
14,Bolivia,2020-02-15 09:44:00+00
15,Brazil,2020-02-15 09:44:00+00
16,Brunei,2020-02-15 09:44:00+00
17,Bulgaria,2020-02-15 09:44:00+00
18,Cambodia,2020-02-15 09:44:00+00
19,Cameroon,2020-02-15 09:44:00+00
20,Canada,2020-02-15 09:44:00+00
21,Chad,2020-02-15 09:44:00+00
22,Chile,2020-02-15 09:44:00+00
23,China,2020-02-15 09:44:00+00
24,Colombia,2020-02-15 09:44:00+00
25,"Congo, The Democratic Republic of the",2020-02-15 09:44:00+00
26,Czech Republic,2020-02-15 09:44:00+00
27,Dominican Republic,2020-02-15 09:44:00+00
28,Ecuador,2020-02-15 09:44:00+00
29,Egypt,2020-02-15 09:44:00+00
30,Estonia,2020-02-15 09:44:00+00
31,Ethiopia,2020-02-15 09:44:00+00
32,Faroe Islands,2020-02-15 09:44:00+00
33,Finland,2020-02-15 09:44:00+00
34,France,2020-02-15 09:44:00+00
35,French Guiana,2020-02-15 09:44:00+00
36,French Polynesia,2020-02-15 09:44:00+00
37,Gambia,2020-02-15 09:44:00+00
38,Germany,2020-02-15 09:44:00+00
39,Greece,2020-02-15 09:44:00+00
40,Greenland,2020-02-15 09:44:00+00
41,Holy See (Vatican City State),2020-02-15 09:44:00+00
42,Hong Kong,2020-02-15 09:44:00+00
43,Hungary,2020-02-15 09:44:00+00
44,India,2020-02-15 09:44:00+00
45,Indonesia,2020-02-15 09:44:00+00
46,Iran,2020-02-15 09:44:00+00
47,Iraq,2020-02-15 09:44:00+00
48,Israel,2020-02-15 09:44:00+00
49,Italy,2020-02-15 09:44:00+00
50,Japan,2020-02-15 09:44:00+00
51,Kazakstan,2020-02-15 09:44:00+00
52,Kenya,2020-02-15 09:44:00+00
53,Kuwait,2020-02-15 09:44:00+00
54,Latvia,2020-02-15 09:44:00+00
55,Liechtenstein,2020-02-15 09:44:00+00
56,Lithuania,2020-02-15 09:44:00+00
57,Madagascar,2020-02-15 09:44:00+00
58,Malawi,2020-02-15 09:44:00+00
59,Malaysia,2020-02-15 09:44:00+00
60,Mexico,2020-02-15 09:44:00+00
61,Moldova,2020-02-15 09:44:00+00
62,Morocco,2020-02-15 09:44:00+00
63,Mozambique,2020-02-15 09:44:00+00
64,Myanmar,2020-02-15 09:44:00+00
65,Nauru,2020-02-15 09:44:00+00
66,Nepal,2020-02-15 09:44:00+00
67,Netherlands,2020-02-15 09:44:00+00
68,New Zealand,2020-02-15 09:44:00+00
69,Nigeria,2020-02-15 09:44:00+00
70,North Korea,2020-02-15 09:44:00+00
71,Oman,2020-02-15 09:44:00+00
72,Pakistan,2020-02-15 09:44:00+00
73,Paraguay,2020-02-15 09:44:00+00
74,Peru,2020-02-15 09:44:00+00
75,Philippines,2020-02-15 09:44:00+00
76,Poland,2020-02-15 09:44:00+00
77,Puerto Rico,2020-02-15 09:44:00+00
78,Romania,2020-02-15 09:44:00+00
79,Runion,2020-02-15 09:44:00+00
80,Russian Federation,2020-02-15 09:44:00+00
81,Saint Vincent and the Grenadines,2020-02-15 09:44:00+00
82,Saudi Arabia,2020-02-15 09:44:00+00
83,Senegal,2020-02-15 09:44:00+00
84,Slovakia,2020-02-15 09:44:00+00
85,South Africa,2020-02-15 09:44:00+00
86,South Korea,2020-02-15 09:44:00+00
87,Spain,2020-02-15 09:44:00+00
88,Sri Lanka,2020-02-15 09:44:00+00
89,Sudan,2020-02-15 09:44:00+00
90,Sweden,2020-02-15 09:44:00+00
91,Switzerland,2020-02-15 09:44:00+00
92,Taiwan,2020-02-15 09:44:00+00
93,Tanzania,2020-02-15 09:44:00+00
94,Thailand,2020-02-15 09:44:00+00
95,Tonga,2020-02-15 09:44:00+00
96,Tunisia,2020-02-15 09:44:00+00
97,Turkey,2020-02-15 09:44:00+00
98,Turkmenistan,2020-02-15 09:44:00+00
99,Tuvalu,2020-02-15 09:44:00+00
100,Ukraine,2020-02-15 09:44:00+00
101,United Arab Emirates,2020-02-15 09:44:00+00
102,United Kingdom,2020-02-15 09:44:00+00
103,United States,2020-02-15 09:44:00+00
104,Venezuela,2020-02-15 09:44:00+00
105,Vietnam,2020-02-15 09:44:00+00
106,"Virgin Islands, U.S.",2020-02-15 09:44:00+00
107,Yemen,2020-02-15 09:44:00+00
108,Yugoslavia,2020-02-15 09:44:00+00
109,Zambia,2020-02-15 09:44:00+00
